Artist,C,Position,Streams,Track Name,URL,Unnamed: 0,Unnamed: 0.1,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,type,valence
Duki,CR,137,3765,Malbec,https://open.spotify.com/track/6KEb17S00Inf0v1qYDgUAj,136,136,0.574,0.705,175890,0.692,0.0,9,0.13,-6.476,0,0.0357,122.991,4,audio_features,0.444
Olivia Rodrigo,CR,138,3756,brutal,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC,137,137,0.0311,0.672,143747,0.526,1.37e-06,4,0.28,-6.446,1,0.0599,123.999,4,audio_features,0.28
KAROL G,CR,139,3747,200 COPAS,https://open.spotify.com/track/0aZnyTWJNgdzYoOiaW8HKG,138,138,0.767,0.515,217213,0.704,0.0,9,0.415,-5.25,0,0.206,91.246,3,audio_features,0.885
The Neighbourhood,CR,140,3743,Sweater Weather,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,139,139,0.0495,0.612,240400,0.807,0.0177,10,0.101,-2.81,1,0.0336,124.053,4,audio_features,0.398
Nio Garcia,CR,141,3734,La Jeepeta - Remix,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2,140,140,0.297,0.814,345241,0.714,4.89e-06,4,0.091,-4.65,0,0.207,176.013,4,audio_features,0.789
Rusherking,CR,142,3731,Además de Mí - Remix,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE,141,141,0.0396,0.397,330040,0.613,0.0,6,0.192,-5.077,1,0.0549,78.4,4,audio_features,0.405
Jerry Di,CR,143,3715,Mi Cuarto,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ,142,142,0.819,0.854,197587,0.525,0.0,1,0.146,-4.426,1,0.214,97.054,4,audio_features,0.63
Justin Quiles,CR,144,3697,Jeans,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW,143,143,0.0165,0.807,185840,0.656,0.0,3,0.0693,-4.395,0,0.105,83.943,4,audio_features,0.89
KAROL G,CR,145,3683,"Ay, DiOs Mío!",https://open.spotify.com/track/1beTDCe7sT7fzm8WIKXicz,144,144,0.511,0.717,189413,0.708,0.00101,11,0.106,-4.395,1,0.19,180.001,4,audio_features,0.518
BTS,CR,146,3677,Dynamite,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,145,145,0.0112,0.746,199054,0.765,0.0,6,0.0936,-4.41,0,0.0993,114.044,4,audio_features,0.737
Manuel Turizo,CR,147,3654,Quiéreme Mientras Se Pueda,https://open.spotify.com/track/1WH3iquIQXnSPwUzlROT8R,146,146,0.447,0.793,191945,0.782,0.0,4,0.124,-3.945,1,0.0582,143.86,4,audio_features,0.81
